Wilayah Jawa Barat,
,Produksi Padi Menurut Kabupaten/Kota (Ton)
,2017
Provinsi Jawa Barat,12299701
Bogor,562644
Sukabumi,901902
Cianjur,874393
Bandung,590827
Garut,979223
Tasikmalaya,905025
Ciamis,453002
Kuningan,396162
Cirebon,478294
Majalengka,824735
Sumedang,560875
Indramayu,1224479
Subang,1244234
Purwakarta,219072
Karawang,1075677
Bekasi,404466
Bandung Barat,284720
Pangandaran,173007
Kota Bogor,4156
Kota Sukabumi,20790
Kota Bandung,9742
Kota Cirebon,1619
Kota Bekasi,2636
Kota Depok,971
Kota Cimahi,1496
Kota Tasikmalaya,67603
Kota Banjar,37951
